Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,Treated,After
ASII.JK,2018Q2,Automobiles and Parts,2.228430353,4.210460704,3.09336E+14,1.81615E+14,53.32225914,15.1895393,1,0
ASRI.JK,2018Q2,Real Estate Investment and Services Development,1.039829247,2.453782682,2.09865E+13,1.22276E+13,101.9177244,20.21341804,1,0
ASSA.JK,2018Q2,Consumer Services,1.020675877,3.378319607,3.42426E+12,2.40502E+12,15.78677685,8.074228809,1,0
ATIC.JK,2018Q2,Software & Computer Services,0.56414311,1.159711978,3.26904E+12,2.66679E+12,79.18656164,13.14063335,1,0
AUTO.JK,2018Q2,Automobiles and Parts,0.409552186,0.604876012,1.51337E+13,5.29648E+12,91.08669898,19.32789103,1,0
BAJA.JK,2018Q2,Industrial Metals and Mining,-2.91369487,-17.76713187,9.63008E+11,7.47946E+11,-218.1946999,-20.742233,1,0
BALI.JK,2018Q2,Telecommunications Service Providers,0.556842684,1.158785731,2.70592E+12,1.4226E+12,30.5484385,37.12846144,0,0
BAPA.JK,2018Q2,Real Estate Investment and Services Development,-0.409117836,-0.59078287,1.7726E+11,56744534680,-36.27142066,-17.57113523,1,0
BATA.JK,2018Q2,Personal Goods,0.304206878,0.454642934,8.7983E+11,2.97881E+11,4.319781443,-1.701656999,1,0
BAYU.JK,2018Q2,Travel and Leisure,0.970597036,1.808075762,7.93539E+11,3.31246E+11,1.093624819,17.83932082,1,0
BBLD.JK,2018Q2,Finance and Credit Services,0.266454772,1.062322915,4.75105E+12,3.26012E+12,2.885055158,-4.022944256,0,0
BBRM.JK,2018Q2,Industrial Transportation,-1.831836243,-5.847834728,1.30153E+12,9.03334E+11,381.3788267,-25.73252651,1,0
BCAP.JK,2018Q2,Investment Banking and Brokerage Services,0.198478437,0.719428093,1.86407E+13,1.45652E+13,42.03012825,14.49033812,1,0
BELL.JK,2018Q2,Personal Goods,0.628432085,1.248554914,4.82335E+11,2.71516E+11,-27.42347909,-10.18743633,1,0
BEST.JK,2018Q2,Real Estate Investment and Services Development,0.754907389,1.116240899,5.74571E+12,1.858E+12,-17.82415908,-20.45925467,1,0
