Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,FCF,OI_GROWTH,REV_GROWTH,Treated,After,Balanced
MAPB.JK,2019Q2,Travel and Leisure,1.734399548,2.950610515,1.94321E+12,8.11162E+11,14684000000,30.12758469,5.179900567,1,1,TRUE
MASA.JK,2019Q2,Automobiles and Parts,-0.567887419,-1.043947213,7.91796E+12,3.92638E+12,1.07852E+11,-130.1556739,-21.3427256,1,1,TRUE
MBAP.JK,2019Q2,"Oil, Gas and Coal",5.857813518,8.013899874,2.61471E+12,6.94597E+11,1.50236E+11,74.4303781,-5.204181938,0,1,TRUE
MDKA.JK,2019Q2,Industrial Metals and Mining,2.696624329,5.668675894,1.25619E+13,6.96106E+12,3.05447E+11,12.4458708,8.274348305,1,1,TRUE
MFIN.JK,2019Q2,Finance and Credit Services,2.171824605,4.041376512,4.16031E+12,2.05421E+12,81329000000,-4.05804538,7.756810098,0,1,TRUE
MICE.JK,2019Q2,"Personal Care, Drug and Grocery Stores",0.455281053,0.770489726,1.00727E+12,3.38467E+11,4193813590,-7.473792642,1.177513685,0,1,TRUE
MIDI.JK,2019Q2,Retailers,1.167298633,5.479874731,5.22466E+12,4.13467E+12,56441000000,-48.34242681,21.27275183,1,1,TRUE
MIKA.JK,2019Q2,Health Care Providers,3.536705129,4.194068518,5.40975E+12,1.18568E+12,1.53554E+11,-4.584219661,-3.087425478,0,1,TRUE
MLIA.JK,2019Q2,Construction and Materials,0.371831336,0.852773639,5.24681E+12,2.92602E+12,40256061000,-63.45660887,-13.19753032,0,1,TRUE
MMLP.JK,2019Q2,Industrial Support Services,3.026930146,3.636013973,6.09132E+12,2.31743E+12,45230411000,18.57621706,3.334111752,1,1,TRUE
MNCN.JK,2019Q2,Media,3.778728105,5.880000116,1.71521E+13,6.58378E+12,5.98851E+11,29.38437177,25.40667054,1,1,TRUE
MSKY.JK,2019Q2,Media,-0.792924738,-1.843301861,4.60639E+12,2.62268E+12,82435000000,-42.58380867,3.105834397,1,1,TRUE
MTDL.JK,2019Q2,Technology Hardware & Equipment,1.82003994,3.533514023,5.16621E+12,3.27053E+12,95461000000,-23.52248554,-9.597865486,0,1,TRUE
MTLA.JK,2019Q2,Real Estate Investment and Services Development,2.599541948,4.015156424,5.2243E+12,1.79347E+12,71836530000,-58.89207749,32.10927417,1,1,TRUE
MYOH.JK,2019Q2,"Oil, Gas and Coal",1.902020497,2.524716715,2.00943E+12,5.72748E+11,95832297600,-12.25122495,-1.488159178,0,1,TRUE
NRCA.JK,2019Q2,Construction and Materials,1.872211859,3.656535424,2.44011E+12,1.10074E+12,34052412550,21.74094616,24.52985142,0,1,TRUE
PBRX.JK,2019Q2,Personal Goods,1.259325101,2.832365909,8.98795E+12,4.95154E+12,29722680000,-19.59241074,51.12796182,1,1,TRUE
PBSA.JK,2019Q2,Construction and Materials,-0.057261251,-0.073405047,7.01184E+11,1.31672E+11,5968783410,-40.94393895,22.61422982,0,1,TRUE
PEGE.JK,2019Q2,Investment Banking and Brokerage Services,9.144130583,11.37032755,7.10212E+11,1.41359E+11,62506138660,339.5567116,282.7858172,1,1,TRUE
PGAS.JK,2019Q2,"Gas, Water and Multi-utilities",-0.000675565,-0.427866357,1.02313E+14,6.91809E+13,1.99283E+12,12.29506075,7.106755532,0,1,TRUE
PGLI.JK,2019Q2,Travel and Leisure,-0.240104962,-0.00621992,87225369670,24114978240,2713469780,40.48927706,34.95547518,1,1,TRUE
PKPK.JK,2019Q2,"Oil, Gas and Coal",0.183227204,0.421143026,1.28176E+11,72315866000,10672000,-245.7770207,-74.92375124,0,1,TRUE
PORT.JK,2019Q2,Industrial Transportation,-0.003598737,0.531370637,2.23842E+12,1.13286E+12,1617558000,1047.762422,-6.787857817,1,1,TRUE
POWR.JK,2019Q2,Electricity,2.106906666,4.2471086,1.84917E+13,9.52198E+12,5.85749E+11,-10.82663404,-2.081580421,1,1,TRUE
PRAS.JK,2019Q2,Industrial Metals and Mining,0.295263016,0.671929418,1.72035E+12,9.25171E+11,654288940,-221.7824513,-5.551250653,1,1,TRUE
PTBA.JK,2019Q2,"Oil, Gas and Coal",3.628397504,5.225644885,2.34121E+13,7.53661E+12,1.34729E+12,27.86811364,-1.104953638,0,1,TRUE
PTIS.JK,2019Q2,General Industrials,0.083856273,0.191598529,5.30441E+11,2.97774E+11,10971170000,357.9128747,3.334791142,1,1,TRUE
RALS.JK,2019Q2,Retailers,8.897746573,12.78095842,6.26571E+12,2.17023E+12,5.24121E+11,1270.153904,133.5288303,1,1,TRUE
RIGS.JK,2019Q2,Industrial Transportation,-15.51475241,-22.12486273,9.02227E+11,3.0599E+11,47892612500,-610.5630101,-16.25650969,1,1,TRUE
SCCO.JK,2019Q2,Electronic and Electrical Equipment,1.020767983,1.536225188,4.31873E+12,1.30916E+12,92487648440,-18.51493828,-8.076056245,1,1,TRUE
SCMA.JK,2019Q2,Media,4.244309767,6.09403989,6.9014E+12,1.89365E+12,3.02147E+11,-14.45329347,14.4654715,1,1,TRUE
SCPI.JK,2019Q2,Pharmaceuticals and Biotechnology,0.523470665,1.41412372,1.70111E+12,1.12608E+12,9493772000,-94.77694233,23.65139082,0,1,TRUE
SIDO.JK,2019Q2,Food Producers,4.889977142,5.436923358,3.27093E+12,3.04222E+11,1.63412E+11,-17.78293919,-2.420282565,0,1,TRUE
SMDM.JK,2019Q2,Real Estate Investment and Services Development,0.743036216,0.513539158,3.18161E+12,1.40165E+12,23690884320,-23.6519196,-2.477925768,1,1,TRUE
SMGR.JK,2019Q2,Construction and Materials,0.31352895,0.704057862,7.69832E+13,4.67037E+13,5.29192E+11,-12.24327678,1.192122515,0,1,TRUE
SMSM.JK,2019Q2,Automobiles and Parts,4.176188418,5.549349019,2.79858E+12,8.66818E+11,1.17355E+11,-13.75957391,-1.062907893,1,1,TRUE
SOCI.JK,2019Q2,Industrial Transportation,0.551949328,1.138743592,9.75347E+12,4.94401E+12,1.65222E+11,-24.89430664,-8.563757603,1,1,TRUE
SRIL.JK,2019Q2,Personal Goods,2.031630698,5.287656544,1.98848E+13,1.21904E+13,1.85671E+11,14.74870264,16.20846744,1,1,TRUE
SSTM.JK,2019Q2,Personal Goods,-0.001421902,-0.003571856,5.37498E+11,3.36572E+11,5628647890,-149.643251,6.39078105,1,1,TRUE
TBMS.JK,2019Q2,Industrial Metals and Mining,0.814050915,3.336059067,2.40564E+12,1.77498E+12,25635038750,-21.96794929,-9.775842283,1,1,TRUE
TCID.JK,2019Q2,Personal Goods,0.902408031,1.153757645,2.50993E+12,5.8479E+11,90197997040,831.3613917,-4.757320071,1,1,TRUE
TFCO.JK,2019Q2,Chemicals,-0.004500139,-0.004887154,4.49045E+12,3.90254E+11,31643123850,61.89613751,-10.67201977,0,1,TRUE
TGKA.JK,2019Q2,"Personal Care, Drug and Grocery Stores",3.523692465,8.662419108,2.83751E+12,1.92396E+12,1.10949E+11,13.86591988,-23.7842072,0,1,TRUE
TIFA.JK,2019Q2,Finance and Credit Services,0.663080047,2.611220065,1.34E+12,9.84781E+11,8763448000,1.321562651,1.315775329,0,1,TRUE
TKIM.JK,2019Q2,Industrial Materials,1.908094816,4.354632341,4.24199E+13,2.37566E+13,9.22642E+11,20.7054905,-12.48395867,1,1,TRUE
TLKM.JK,2019Q2,Telecommunications Service Providers,3.217037327,4.876995032,2.15699E+14,1.14003E+14,9.36E+12,27.92725726,-0.961538462,0,1,TRUE
TOBA.JK,2019Q2,"Oil, Gas and Coal",2.559190007,3.510772901,7.36159E+12,4.70739E+12,1.16445E+11,-49.13433118,9.242815109,0,1,TRUE
TPMA.JK,2019Q2,Industrial Transportation,1.223725586,1.783584811,1.55225E+12,5.07399E+11,13955500000,-21.13009815,-1.057472886,1,1,TRUE
TRIM.JK,2019Q2,Investment Banking and Brokerage Services,1.009190384,1.959727214,1.68005E+12,8.54802E+11,18361065000,-3.835069471,-2.255995791,1,1,TRUE
TRUS.JK,2019Q2,Investment Banking and Brokerage Services,1.800504517,1.956331751,3.00505E+11,24120510450,5247117460,8.262512829,18.33360978,1,1,TRUE
TSPC.JK,2019Q2,Pharmaceuticals and Biotechnology,1.588278645,2.397001903,8.06481E+12,2.7584E+12,2.06271E+11,49.02266624,-1.792173681,0,1,TRUE
TURI.JK,2019Q2,Retailers,2.37797619,3.993534198,6.29824E+12,2.57315E+12,1.79869E+11,17.43828479,-9.843857846,1,1,TRUE
ULTJ.JK,2019Q2,Food Producers,3.476990591,4.176527701,6.17534E+12,1.1451E+12,1.79342E+11,-31.06153921,8.135861864,0,1,TRUE
UNIC.JK,2019Q2,Chemicals,0.576810679,0.962191029,3.1211E+12,9.18965E+11,22169731350,256.2364846,-19.29327986,0,1,TRUE
UNIT.JK,2019Q2,Investment Banking and Brokerage Services,-0.022568124,0.002509067,4.20833E+11,2.92165E+11,5328467240,11.22446773,-28.2660156,1,1,TRUE
UNTR.JK,2019Q2,Industrial Engineering,2.182048976,4.699021112,1.18272E+14,6.34717E+13,2.92013E+12,-14.41448439,-8.502104739,1,1,TRUE
VICO.JK,2019Q2,Investment Banking and Brokerage Services,0.072473968,0.724877192,2.9753E+13,2.70822E+13,38051824000,41.36510099,6.423984943,1,1,TRUE
WAPO.JK,2019Q2,Food Producers,-1.03080623,-1.263163262,1.02245E+11,9533743440,831124690,-103.714009,310.2411649,0,1,TRUE
WINS.JK,2019Q2,Industrial Transportation,-1.080997746,-1.714169939,3.76709E+12,1.72946E+12,31439142500,28.73686901,14.46710234,1,1,TRUE
WOMF.JK,2019Q2,Finance and Credit Services,0.407565226,2.962394468,8.36076E+12,7.16853E+12,36492000000,-0.582845664,-2.7641418,0,1,TRUE
WOOD.JK,2019Q2,Household Goods and Home Construction,1.352118623,2.500573249,4.8679E+12,1.99856E+12,92475847660,-33.1866956,-1.728547698,0,1,TRUE
WSBP.JK,2019Q2,Construction and Materials,0.614917766,1.135438798,1.47021E+13,6.44843E+12,2.51061E+11,62.17272729,-26.30359892,0,1,TRUE
YPAS.JK,2019Q2,Chemicals,-0.714192546,-1.91389745,3.01324E+11,2.07531E+11,2878382480,-98.03319509,-24.68084351,0,1,TRUE
AALI.JK,2018Q2,Food Producers,1.689546944,2.312828037,2.68358E+13,8.3484E+12,3.92346E+11,29.89292247,2.89514427,0,0,TRUE
ABMM.JK,2018Q2,"Oil, Gas and Coal",0.708811535,3.777518366,1.43456E+13,1.17824E+13,1.80582E+11,166.8726388,-1.384038782,0,0,TRUE
ACES.JK,2018Q2,Retailers,4.622061978,5.775129298,4.67116E+12,9.16064E+11,2.68807E+11,27.52013855,-8.27477587,1,0,TRUE
ADMF.JK,2018Q2,Finance and Credit Services,1.447092133,7.074456224,2.97541E+13,2.37739E+13,4.30215E+11,-1.630295484,1.571289969,0,0,TRUE
ADRO.JK,2018Q2,"Oil, Gas and Coal",2.013126642,3.407875173,9.71819E+13,4.40916E+13,67162560000,-23.53148922,15.33122558,0,0,TRUE
ALDO.JK,2018Q2,Household Goods and Home Construction,1.457977569,3.589579711,5.35347E+11,3.60144E+11,14766258110,345.5402011,-15.29944553,0,0,TRUE
ALKA.JK,2018Q2,Industrial Metals and Mining,3.277016383,14.40492622,3.79224E+11,3.1845E+11,8137468000,-250.1909963,62.01843877,1,0,TRUE
AMRT.JK,2018Q2,"Personal Care, Drug and Grocery Stores",0.450227811,1.860000684,2.25779E+13,1.72428E+13,2.37824E+11,-34.33873402,23.59460976,0,0,TRUE
APIC.JK,2018Q2,Investment Banking and Brokerage Services,-1.252612646,-1.904763095,2.60557E+12,1.25163E+12,1.16177E+11,263.9782134,-75.1570181,1,0,TRUE
ARNA.JK,2018Q2,Construction and Materials,1.854618943,3.079981388,1.59182E+12,5.97485E+11,45734132110,-22.15862841,-13.32357147,0,0,TRUE
ARTI.JK,2018Q2,Household Goods and Home Construction,0.134091555,0.044160304,2.54927E+12,8.43189E+11,11346022080,-59.55808653,-9.763915007,0,0,TRUE
ASGR.JK,2018Q2,Technology Hardware & Equipment,2.529874541,3.928312709,2.18401E+12,8.44648E+11,89683000000,50.0781514,64.96412189,0,0,TRUE
