Stocks;Period;ROA;REV;TA;DER;IDX_IC;DiD_Period;DiD_Treatment;Ln_REV;Ln_Assets;ROA_perc;DER_perc
BCIC;2019Q2;0.0141862489;53537000000;17963452000000;0.6261808188;IDXFINANCE;0;1;24.7036388406;30.5193603652;1.4186248899;62.6180818820
BCIC;2020Q2;0.0098318159;125188000000;19501696000000;0.2837663193;IDXFINANCE;1;1;25.5530824444;30.6015225521;0.9831815880;28.3766319250
BCIP;2019Q2;-0.0047502097;41393332680;849799701090;0.2337165328;IDXPROPERT;0;0;24.4463856584;27.4682665129;-0.4750209746;23.3716532760
BCIP;2020Q2;0.0085780615;18356515250;867065425450;0.2168860338;IDXPROPERT;1;0;23.6332504029;27.4883802728;0.8578061450;21.6886033790
BDMN;2019Q2;0.0105347492;4482513000000;198590103000000;0.5862390387;IDXFINANCE;0;1;29.1312049426;32.9222640325;1.0534749173;58.6239038710
BDMN;2020Q2;0.0128454995;5271743000000;194440995000000;0.4971861553;IDXFINANCE;1;1;29.2933821638;32.9011498654;1.2845499541;49.7186155270
BEEF;2019Q2;0.0020864397;254078000930;564697027440;1.1992445275;IDXNONCYC;0;0;26.2609071471;27.0595551896;0.2086439710;119.9244527490
BEEF;2020Q2;0.0217559053;413169607560;924849879460;0.7301322371;IDXNONCYC;1;0;26.7471240177;27.5528972688;2.1755905270;73.0132237090
BELL;2019Q2;0.0055071700;153075476390;553300074850;0.7289071094;IDXCYCLIC;0;1;25.7541969464;27.0391663221;0.5507169950;72.8907109370
BELL;2020Q2;0.0149157576;143281040010;655208170500;0.9859319635;IDXCYCLIC;1;1;25.6880738533;27.2082188396;1.4915757580;98.5931963530
BEST;2019Q2;0.0049061182;123774028430;6271904604230;0.4514245363;IDXPROPERT;0;0;25.5417233887;29.4671011891;0.4906118170;45.1424536300
BEST;2020Q2;0.0120548472;100413106630;6395256790730;0.4128483831;IDXPROPERT;1;0;25.3325585798;29.4865777051;1.2054847180;41.2848383050
BFIN;2019Q2;0.0054946889;1233334000000;18369144000000;1.8716916374;IDXFINANCE;0;1;27.8407421875;30.5416934164;0.5494688940;187.1691637410
BFIN;2020Q2;0.0100307310;1040258000000;17285051000000;1.6657588412;IDXFINANCE;1;1;27.6704898752;30.4808631398;1.0030730950;166.5758841220
BHIT;2019Q2;0.0028672691;3873540000000;56421973000000;2.2536184972;IDXINDUST;0;1;28.9851899335;31.6638797908;0.2867269060;225.3618497190
