Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH_YoY_in_percent,Treated,After_YoY
CFIN.JK,2020Q2,Finance and Credit Services,0.082650493,0,11155216433000,6359275238000,-42.76847378,-21.72717763,0,1
CINT.JK,2020Q2,Household Goods and Home Construction,0.095305069,0,517640079040,136843784100,-108.6512262,-16.48289722,0,1
CITA.JK,2020Q2,Industrial Metals and Mining,4.212568879,5,4362823253710,1126041375910,15.24245177,37.22006843,1,1
CITY.JK,2020Q2,Real Estate Investment and Services Development,-0.384581917,0,986454657400,196047509230,-90.02857468,-58.42453048,1,1
CLEO.JK,2020Q2,Beverages,2.194226497,4,1339700022810,511400705600,-7.362267025,-17.1433031,0,1
CLPI.JK,2020Q2,Chemicals,0.463878089,1,717528627320,230017251280,-26.45871981,-0.714975131,0,1
CMNP.JK,2020Q2,Industrial Transportation,0.439372299,1,15638874667000,8167998598470,-10.47339343,-45.92884735,1,1
COWL.JK,2020Q2,Real Estate Investment and Services Development,-0.527877028,-2,3733012257460,2650542028030,463.7442172,-35.31495608,1,1
CPIN.JK,2020Q2,Food Producers,2.32672106,3,32004676000000,8770542000000,18.27705835,-9.303397138,0,1
CPRO.JK,2020Q2,Food Producers,-0.783546205,-14,6000259000000,6059597000000,148.0316786,-7.846252924,0,1
CSAP.JK,2020Q2,Retailers,0.212796852,1,6709613847000,5242990113000,21.39569509,-1.961911414,1,1
CSIS.JK,2020Q2,Household Goods and Home Construction,-0.291061209,-2,563760088730,447933531660,-453.4252258,331.8108073,0,1
CTBN.JK,2020Q2,Industrial Metals and Mining,0.955918994,1,1974491973000,502482763600,96.32936257,41.66292983,1,1
CTRA.JK,2020Q2,Real Estate Investment and Services Development,-0.058586788,0,37884189000000,23159890000000,-26.75105981,-13.61599428,1,1
CTTH.JK,2020Q2,Construction and Materials,-0.079179869,0,745464901680,471279084520,-172.4010115,-15.72495766,0,1
DART.JK,2020Q2,Real Estate Investment and Services Development,-1.694180748,-4,6698203838000,3526268451000,-50.59041707,-42.67754525,1,1
DAYA.JK,2020Q2,Retailers,-3.135725485,-15,689702206000,554225194000,-700.89473,-41.05026867,1,1
DEFI.JK,2020Q2,Investment Banking and Brokerage Services,-0.114586428,0,96922043090,725353160,291.0986686,-21.08069254,1,1
DEWA.JK,2020Q2,Industrial Metals and Mining,0.126779927,0,8782060373000,4954625099000,806.9181924,41.97469433,1,1
DFAM.JK,2020Q2,Real Estate Investment and Services Development,-3.376395989,-12,322109719820,231296010910,-67.9254917,-87.3380269,1,1
DGIK.JK,2020Q2,Construction and Materials,-0.620032155,-1,1210163814610,625750033890,-24.56596951,-55.76885465,0,1
DILD.JK,2020Q2,Real Estate Investment and Services Development,0.0001501,0,15917280081410,10753016969710,50.42566287,48.32556104,1,1
DIVA.JK,2020Q2,Software & Computer Services,0.740200496,1,1069857566400,281182424660,-7.613396598,8.081558776,1,1
DKFT.JK,2020Q2,Industrial Metals and Mining,4.853628388,11,2626626125040,2188636235660,-630.2587532,324.1894665,1,1
DLTA.JK,2020Q2,Beverages,-0.54873104,-1,1406321516000,194328999000,-50.098553,-69.10769861,0,1
DMAS.JK,2020Q2,Real Estate Investment and Services Development,0.348766821,0,6987604175310,1537090997900,-93.75179438,-85.19123735,1,1
DNET.JK,2020Q2,Software & Computer Services,-0.115357689,0,15753656588380,6186541487620,13.72229445,131.4612262,1,1
DOID.JK,2020Q2,"Oil, Gas and Coal",1.330751587,6,15752851697400,14025001176000,68.37737098,-28.24892634,0,1
DPNS.JK,2020Q2,Chemicals,-0.476069805,-1,321478340640,79165308880,13.1746097,-14.3205547,0,1
DPUM.JK,2020Q2,Food Producers,-8.955560067,-15,1820802086890,697843302680,904.9976696,-24.43279381,0,1
DSFI.JK,2020Q2,Food Producers,-2.093608652,-4,377347388460,199335899700,-67.82894914,-58.53376026,0,1
DSNG.JK,2020Q2,Construction and Materials,0.821271894,3,11709863000000,8281825000000,44.15544082,28.79027405,0,1
DSSA.JK,2020Q2,Electricity,0.425528311,1,54566632573600,35072074300000,2.077383097,-6.760406138,1,1
DUTI.JK,2020Q2,Real Estate Investment and Services Development,0.321069245,0,13848012503290,5123825541580,-44.39530865,-49.75775785,1,1
DVLA.JK,2020Q2,Pharmaceuticals and Biotechnology,4.182345086,6,2010537712000,588498807000,-32.82988871,2.855437588,0,1
DYAN.JK,2020Q2,Industrial Support Services,-6.900033624,-10,1098152200020,457380211650,-386.3572406,-96.57409282,1,1
ECII.JK,2020Q2,Retailers,-1.41576161,-2,1639638776210,354576917900,539.0983554,-46.74482958,1,1
EKAD.JK,2020Q2,Chemicals,1.694572904,2,983508727500,113727089690,19.28226536,-16.66561813,0,1
ELSA.JK,2020Q2,"Oil, Gas and Coal",1.059394792,2,7022422000000,3321485000000,-14.61334797,-1.518732966,0,1
ELTY.JK,2020Q2,Real Estate Investment and Services Development,-3.142095557,-4,12329520357730,4913593830530,-848.6789232,-15.68820714,1,1
EMDE.JK,2020Q2,Real Estate Investment and Services Development,-0.754748355,-2,2178974394830,1406775424980,-21.98020356,-72.96904324,1,1
EMTK.JK,2020Q2,Telecommunications Equipment,-0.09751506,-1,17336493116000,8125825004000,-110.4399362,-2.00999252,0,1
ENRG.JK,2020Q2,"Oil, Gas and Coal",1.989660507,6,10622652481400,7106078073000,133.6789259,9.016685748,0,1
EPMT.JK,2020Q2,Pharmaceuticals and Biotechnology,1.628602339,2,8353666731890,2149793234970,-8.848547447,0.519500356,0,1
ERAA.JK,2020Q2,Retailers,0.147783565,0,9063284429000,4138070224000,-59.36083432,-19.85467247,1,1
ERTX.JK,2020Q2,Personal Goods,0.292732779,1,1063401732600,895662017000,33.11133998,-28.04359931,1,1
ESSA.JK,2020Q2,"Oil, Gas and Coal",-1.475568127,-4,12147318979000,11667125328000,-18.15114819,-43.94863763,0,1
ESTI.JK,2020Q2,Industrial Materials,0.464290809,2,817666728400,626093794000,13.38304433,-22.33866127,1,1
EXCL.JK,2020Q2,Telecommunications Service Providers,0.31708657,1,69654912000000,49135802000000,17.055004,4.696701939,0,1
FAST.JK,2020Q2,Travel and Leisure,-4.408888187,-10,3603158040000,1936797087000,-88.15309401,-45.84806213,1,1
FASW.JK,2020Q2,Industrial Materials,4.764128244,13,11091179164160,6640783381930,-47.15133476,-9.60287915,1,1
FILM.JK,2020Q2,Media,-1.878807055,-2,1371513555970,40557087260,-287.5668188,-46.80585465,1,1
FIRE.JK,2020Q2,Retailers,1.270275492,2,531145387040,247107504520,104.6227136,-11.63812537,1,1
FISH.JK,2020Q2,Food Producers,2.156971177,9,6272719546000,4439294079000,160.6251812,17.84581337,0,1
FMII.JK,2020Q2,Personal Goods,-0.610947953,-1,879063434860,251696896390,-43.30472502,-84.77070524,1,1
FOOD.JK,2020Q2,Food Producers,-0.767694673,-1,125552051990,59640619080,-144.0946007,-37.7305471,0,1
FORU.JK,2020Q2,Media,-6.048710686,-8,79603952510,22705591510,-35.7678193,-55.06726487,1,1
FPNI.JK,2020Q2,General Industrials,7.049092819,13,2519062820000,1312329300000,3379.235903,-7.694220564,1,1
FREN.JK,2020Q2,Telecommunications Service Providers,1.635931728,5,34769404638050,22130684274230,-39.48058031,42.394757,0,1
GAMA.JK,2020Q2,Real Estate Investment and Services Development,-0.267454237,0,1399172188270,295412138790,-223.5244766,-63.44880303,1,1
GDST.JK,2020Q2,Industrial Metals and Mining,1.844571346,4,1686350926900,1175225972610,-989.0683194,-31.92237401,1,1
GDYR.JK,2020Q2,Automobiles and Parts,-6.491151606,-16,1668266932200,992002171200,1160.83612,-59.68371994,1,1
GEMA.JK,2020Q2,Household Goods and Home Construction,-0.289366091,0,862688313530,533250604070,-34.99055165,-22.86050794,0,1
GEMS.JK,2020Q2,"Oil, Gas and Coal",2.6342845,5,11270042650200,6408974180000,66.964095,15.23072062,0,1
GGRM.JK,2020Q2,Tobacco,1.761928732,3,79158868000000,24407363000000,-28.90879624,-0.582271989,1,1
GHON.JK,2020Q2,Telecommunications Service Providers,2.353157716,3,852097508000,163373117000,37.44497246,25.07669801,0,1
GIAA.JK,2020Q2,Travel and Leisure,-2.623358914,-15,61844779687600,53922670168000,-20.04261583,-10.25254183,1,1
GJTL.JK,2020Q2,Automobiles and Parts,1.355307229,4,18365879000000,12244104000000,-122.0186912,-41.25323677,1,1
GMFI.JK,2020Q2,Industrial Transportation,-1.616402245,-4,10498699584800,7558165582000,-548.7383167,6.89865038,1,1
GMTD.JK,2020Q2,Real Estate Investment and Services Development,0.319292981,1,1102862041090,411483234510,-62.62894501,-32.95278501,1,1
GOLD.JK,2020Q2,Retailers,0.89801304,1,345564313000,31038541000,14.81422682,6.567869259,1,1
GOLL.JK,2020Q2,Food Producers,-0.337530853,-3,2595684229130,2028069219440,459.4748727,-86.974343,0,1
GOOD.JK,2020Q2,Food Producers,-0.539433535,0,5467670236520,3003370565740,-99.40031728,-16.07306177,0,1
GPRA.JK,2020Q2,Real Estate Investment and Services Development,-0.571854334,-1,1820179869950,668360519270,-11.9784597,-21.73504633,1,1
GTBO.JK,2020Q2,"Oil, Gas and Coal",0.976956222,1,764102605600,196704476100,-389.9559128,-74.26694343,0,1
GWSA.JK,2020Q2,Real Estate Investment and Services Development,0.076588345,0,7628495422340,636987252660,-65.21223725,-65.22579243,1,1
GZCO.JK,2020Q2,Food Producers,-5.837227173,-15,1657420000000,1106455000000,-28.66776403,-12.93274102,0,1
HADE.JK,2020Q2,Investment Banking and Brokerage Services,-2.583876135,-4,17132302180,7801434360,21.29045126,0.902327989,1,1
HDFA.JK,2020Q2,Finance and Credit Services,-2.479582988,-5,951837235000,399999294000,48.92833091,-76.32429566,0,1
HDTX.JK,2020Q2,Industrial Materials,-8.39207431,-35,423791061000,368145852000,1019.586089,-97.07802561,1,1
HEAL.JK,2020Q2,Health Care Providers,1.93605666,3,5212140000000,2840074000000,-54.44989488,9.13438021,0,1
HELI.JK,2020Q2,Travel and Leisure,0.006781741,0,191277895850,46616223320,-79.32057438,-15.92045453,1,1
HERO.JK,2020Q2,Retailers,-2.430719652,-5,6400799000000,3084236000000,351.6692411,-34.81248687,1,1
HEXA.JK,2020Q2,Industrial Engineering,3.024150732,4,3585164850000,945242486800,-19.1684485,-52.42649696,1,1
HITS.JK,2020Q2,Industrial Transportation,2.523956522,9,3237588804000,2402915356000,13.44319174,12.61859906,1,1
HKMU.JK,2020Q2,Construction and Materials,0.590983396,1,1884554238510,1169260488550,-41.24913127,-11.5045339,0,1
HMSP.JK,2020Q2,Tobacco,2.974695127,5,41904844000000,15292555000000,-57.0706071,-21.8098518,1,1
HOKI.JK,2020Q2,Food Producers,1.080756963,1,833146552560,230123715820,-32.12556753,-33.74434295,0,1
HOME.JK,2020Q2,Travel and Leisure,-0.915061926,-1,2474783939540,327826189110,-31.579957,-33.08310948,1,1
