Firm,Period,Code,ICB Sector,ROA,ROE,Treated,After,TA,Total Liabilities,FCF,OI_GROWTH,REV_GROWTH
BUKK.JK,2019Q2,BUKK.JK2019Q2,Construction and Materials,1.537555844,3.245968136,0,0,4.5796E+12,2.43349E+12,1.98982E+11,1.106034767,121.5636097
BYAN.JK,2019Q2,BYAN.JK2019Q2,"Oil, Gas and Coal",7.698277481,14.50618326,0,0,1.7097E+13,6.35083E+12,1.10511E+12,-0.342010396,-7.345573106
CAMP.JK,2019Q2,CAMP.JK2019Q2,Food Producers,1.319595488,1.521595325,0,0,1.01648E+12,1.12966E+11,24906804370,-0.374858206,0.662184709
CFIN.JK,2019Q2,CFIN.JK2019Q2,Finance and Credit Services,0.689538179,1.835266316,0,0,1.16395E+13,7.21273E+12,74557608000,0.063306016,12.88381885
CLPI.JK,2019Q2,CLPI.JK2019Q2,Chemicals,0.633669899,0.951544609,0,0,6.79924E+11,2.55464E+11,13612320630,1.181463129,26.91374008
CPIN.JK,2019Q2,CPIN.JK2019Q2,Food Producers,3.202589388,4.652920261,0,0,2.85779E+13,8.3515E+12,7.47541E+11,0.662697783,21.93274069
CTBN.JK,2019Q2,CTBN.JK2019Q2,Industrial Metals and Mining,0.605628138,0.984123543,1,0,2.32941E+12,9.04602E+11,31069168650,-2.593113267,91.59163467
CTRA.JK,2019Q2,CTRA.JK2019Q2,Real Estate Investment and Services Development,0.065420669,0.091389589,1,0,3.44457E+13,1.99152E+13,5.52068E+11,0.482482685,21.29425162
DILD.JK,2019Q2,DILD.JK2019Q2,Real Estate Investment and Services Development,-0.183575757,-0.659008375,1,0,1.41164E+13,8.37369E+12,75947538900,0.827678872,25.15944586
DLTA.JK,2019Q2,DLTA.JK2019Q2,Beverages,3.46242245,4.644689817,0,0,1.6009E+12,2.43477E+11,1.05316E+11,0.030804277,1.005115867
DMAS.JK,2019Q2,DMAS.JK2019Q2,Real Estate Investment and Services Development,7.889014003,8.827635929,1,0,8.20273E+12,1.00955E+12,13275932460,0.748341507,-47.96965926
DSFI.JK,2019Q2,DSFI.JK2019Q2,Food Producers,0.857481994,1.822630464,0,0,3.95831E+11,2.22871E+11,5226132610,0.466573324,-5.110951183
DSNG.JK,2019Q2,DSNG.JK2019Q2,Construction and Materials,0.0198857,0.09113767,0,0,1.14846E+13,8.1677E+12,45764000000,-0.187908481,42.43287449
