Firm,Period,SIZE,LEV,REV,GROWTH,ROA,ROE,FE_2020Q2,FE_2019Q2,FE_2018Q2,FE_Sector,Treat,After,DiD,Delete
DSNG.JK,2019Q2,29.83161534,131.7069926,27.77949112,-17.63894007,0.0198857,0.09113767,0,1,0,8,0,0,0,0
DSSA.JK,2020Q2,31.56103016,86.9849963,29.48785403,13.49862027,0.729234041,0.885063405,1,0,0,3,1,1,1,0
DSSA.JK,2019Q2,31.33632153,63.30591009,29.36123354,97.66898817,1.122081288,2.20857865,0,1,0,3,1,0,0,0
DUTI.JK,2020Q2,30.19660047,4.568684383,27.21841478,34.75979192,0.321069245,0.300782273,1,0,0,9,0,1,0,0
DUTI.JK,2019Q2,30.0587433,5.209436811,26.92009109,23.59202213,2.070969739,3.011429538,0,1,0,9,0,0,0,0
DVLA.JK,2020Q2,28.23425708,9.719163186,26.79217735,12.55897357,4.182345086,5.947249987,1,0,0,5,0,1,0,0
DVLA.JK,2019Q2,28.13644356,5.270183918,26.67387025,-2.626972678,1.67664971,2.426963774,0,1,0,5,0,0,0,0
DYAN.JK,2020Q2,27.80919227,18.20759307,26.38412995,-8.456544673,-6.900033624,-10.36658646,1,0,0,6,0,1,0,0
DYAN.JK,2019Q2,27.89276845,42.0969399,26.47248635,22.23660357,1.362920531,2.276295872,0,1,0,6,0,0,0,0
ECII.JK,2020Q2,28.29987461,0.215934557,26.95204026,13.7481309,-0.228976128,-0.3029894,1,0,0,2,1,1,1,0
ECII.JK,2019Q2,28.28579791,2.387522393,26.82322382,7.724927457,0.282392229,0.338996194,0,1,0,2,1,0,0,0
EKAD.JK,2020Q2,27.46697576,5.200796844,25.88090295,11.11273275,1.694572904,1.927592586,1,0,0,1,1,1,1,0
EKAD.JK,2019Q2,27.44059811,7.750439076,25.77552784,2.117433089,1.294645358,1.413032011,0,1,0,1,1,0,0,0
ELSA.JK,2020Q2,29.43406484,34.08287388,28.25645568,27.97104069,1.059394792,2.144478475,1,0,0,3,1,1,1,0
ELSA.JK,2019Q2,29.29086845,28.28610767,28.00982187,42.98012811,1.319817412,2.339428403,0,1,0,3,1,0,0,0
ELTY.JK,2020Q2,30.24154522,19.8121305,26.40973361,-8.86740343,-3.142095557,-4.474704542,1,0,0,9,0,1,0,0
ELTY.JK,2019Q2,30.27595525,100.602136,26.50258824,-64.0807984,-2.564782748,-4.137824925,0,1,0,9,0,0,0,0
EMDE.JK,2020Q2,28.36205756,111.9663294,24.15802965,-50.25958732,-0.618933091,-1.743059206,1,0,0,9,0,1,0,0
EMDE.JK,2019Q2,28.32839039,113.9269829,24.8563821,-21.99830077,-0.643707605,-1.686264978,0,1,0,9,0,0,0,0
EMTK.JK,2020Q2,30.51704607,5.834214855,28.64550612,23.641899,-0.09751506,-0.559638492,1,0,0,6,0,1,0,0
