Firm,Period,SIZE,LEV,REV,GROWTH,ROA,ROE,FE_2020Q4,FE_2019Q4,FE_Sector,Treat,After,DiD,Delete
BRPT.JK,2019Q4,32.24847365,225.9169947,29.96534576,1.349395534,0.643655998,2.682878052,0,1,6,1,0,0,0
BSDE.JK,2020Q4,31.62997343,45.87186799,28.24851924,0.688361884,-0.24191483,-0.646299303,1,0,9,0,1,0,0
BSDE.JK,2019Q4,31.58421471,53.4601251,28.24165921,-59.25868675,1.141860006,1.688656499,0,1,9,0,0,0,0
BSIM.JK,2020Q4,31.22996372,71.37870459,28.16983052,125.6039372,0.053218202,#VALUE!,1,0,3,0,1,0,0
BSIM.JK,2019Q4,31.0568702,48.5846776,27.35621973,4.585257738,-0.010247458,#VALUE!,0,1,3,0,0,0,0
BSSR.JK,2020Q4,28.87789329,8.440162302,28.06659164,-11.095955,2.27683077,3.131246554,1,0,7,1,1,1,0
BSSR.JK,2019Q4,28.89042353,15.13310467,28.18420418,25.21398228,3.164725363,4.782187694,0,1,7,1,0,0,0
BTEK.JK,2020Q4,29.30037838,97.83725009,25.97901086,1.892203292,-4.442715288,-11.75332516,1,0,1,0,1,0,0
BTEK.JK,2019Q4,29.31679943,94.45089782,25.96026562,155.4290498,0.006158071,0.014648094,0,1,1,0,0,0,0
BUDI.JK,2020Q4,28.72955573,105.0376014,27.24352607,16.75737695,1.534443954,3.664075238,1,0,1,0,1,0,0
BUDI.JK,2019Q4,28.85272971,129.1690109,27.08859818,-10.45606966,0.755880697,2.137987847,0,1,1,0,0,0,0
BUKK.JK,2020Q4,29.18688199,31.10070417,27.80235932,-27.83732512,2.46142206,4.319368785,1,0,5,1,1,1,0
BUKK.JK,2019Q4,29.11586957,47.73928255,28.12860656,64.22368273,-1.278924822,-2.512451665,0,1,5,1,0,0,0
BULL.JK,2020Q4,29.44238374,59.85369821,26.63558614,20.25968681,1.375763774,2.951481994,1,0,7,1,1,1,0
BULL.JK,2019Q4,29.20160593,60.51203661,26.45110286,39.56949799,1.172364831,1.888822169,0,1,7,1,0,0,0
BUVA.JK,2020Q4,29.05155252,77.896358,25.826163,20.73259821,-0.873686161,-1.755448041,1,0,2,0,1,0,0
BUVA.JK,2019Q4,28.94106199,100.1900543,25.63775502,105.2806117,-0.782736015,-0.782971995,0,1,2,0,0,0,0
BVIC.JK,2020Q4,31.0473192,155.7315673,25.89490713,-18.8538388,-1.033975851,#VALUE!,1,0,3,0,1,0,0
BVIC.JK,2019Q4,31.03794591,166.1828485,26.10382533,-20.48831573,-0.163374508,#VALUE!,0,1,3,0,0,0,0
BWPT.JK,2020Q4,30.39080761,203.9466232,27.38103552,8.235980821,-2.254693161,-9.374091914,1,0,1,0,1,0,0
BWPT.JK,2019Q4,30.41376231,144.7601767,27.30189185,-11.05323208,-2.311663148,-7.649096949,0,1,1,0,0,0,0
BYAN.JK,2020Q4,30.50679782,61.04873794,28.87375674,-44.50332853,15.19883967,31.3765448,1,0,7,1,1,1,0
BYAN.JK,2019Q4,30.43702457,19.88611586,29.46260388,31.60229215,1.272049674,2.353575446,0,1,7,1,0,0,0
CARS.JK,2020Q4,29.74468088,330.4594216,28.23288024,-3.959354753,-2.088705726,-10.03011195,1,0,2,0,1,0,0
CARS.JK,2019Q4,29.86292407,433.6652517,28.27327893,9.243218392,0.453035552,1.870562132,0,1,2,0,0,0,0
CASS.JK,2020Q4,28.32453113,62.4770152,26.98948492,5.021712787,-3.420257914,-9.843516076,1,0,5,1,1,1,0
CASS.JK,2019Q4,28.33794585,82.00443124,26.94048799,-1.221320239,3.421562741,3.852717462,0,1,5,1,0,0,0
CENT.JK,2020Q4,29.37657695,70.70419106,26.15684373,5.948794832,-5.41955194,-17.10237445,1,0,5,1,1,1,0
CENT.JK,2019Q4,29.28109067,55.02191268,26.099058,4.523646002,-0.063638417,-0.119900263,0,1,5,1,0,0,0
CINT.JK,2020Q4,26.97996319,13.03863756,25.75774728,46.09408531,0.253355774,0.380149596,1,0,2,0,1,0,0
CINT.JK,2019Q4,26.92048774,8.090371683,25.37866663,-4.003483915,1.242770503,1.620637328,0,1,2,0,0,0,0
CITA.JK,2020Q4,28.98202712,57.43699128,27.73298912,92.07079915,-1.225340129,-1.473173783,1,0,6,1,1,1,0
CITA.JK,2019Q4,28.81537301,95.16826597,27.08029526,53.86664013,-2.113722179,-3.972469529,0,1,6,1,0,0,0
CLEO.JK,2020Q4,27.85027255,37.44851479,26.46942252,31.87267954,2.922630046,4.392387434,1,0,1,0,1,0,0
CLEO.JK,2019Q4,27.44941993,5.913215279,26.1927558,36.47628705,2.983070313,4.911946061,0,1,1,0,0,0,0
CLPI.JK,2020Q4,27.26214668,25.2709394,26.02523535,-17.25788559,1.690635439,2.278155119,1,0,6,1,1,1,0
CLPI.JK,2019Q4,27.2865405,32.8006756,26.21467682,51.15561492,1.221793146,1.79145302,0,1,6,1,0,0,0
CMNP.JK,2020Q4,30.32477129,89.72777263,27.45166282,9.414860478,0.553596131,1.57506155,1,0,5,1,1,1,0
CMNP.JK,2019Q4,30.118522,85.22774872,27.36168628,10.68419423,1.189843761,3.040068619,0,1,5,1,0,0,0
COWL.JK,2020Q4,28.88119464,192.1205052,25.6774601,-4.564921476,-0.007851168,-0.03300408,1,0,9,0,1,0,0
COWL.JK,2019Q4,28.89100335,155.8388729,25.72418407,9.875405608,-2.118006827,-7.027520377,0,1,9,0,0,0,0
CPIN.JK,2020Q4,30.99327138,25.90268329,30.29309188,4.01874177,1.985728327,2.807665267,1,0,1,0,1,0,0
CPIN.JK,2019Q4,30.91475961,24.34286368,30.25369097,9.805264598,2.913497771,4.275575131,0,1,1,0,0,0,0
CPRO.JK,2020Q4,29.50643369,1186.326857,28.27379773,-5.008763601,7.20333754,332.9171452,1,0,1,0,1,0,0
CPRO.JK,2019Q4,29.58238522,438.3657011,28.32518328,24.60577385,-5.25563636,-65.69197414,0,1,1,0,0,0,0
CSAP.JK,2020Q4,29.51575273,96.20976938,28.8343795,11.07858889,-0.090124077,-0.008182168,1,0,2,0,1,0,0
CSAP.JK,2019Q4,29.38633918,83.24523234,28.72931173,11.74812392,0.306355002,1.091433283,0,1,2,0,0,0,0
CTRA.JK,2020Q4,31.21997039,59.76811167,28.71378989,-0.907052079,2.877047572,7.24573695,1,0,9,0,1,0,0
CTRA.JK,2019Q4,31.16584621,58.82205328,28.7229018,42.27533743,2.289841749,4.990407101,0,1,9,0,0,0,0
CTTH.JK,2020Q4,27.34142022,93.11992614,23.98203951,-65.14838852,-0.98802749,-2.705614825,1,0,4,1,1,1,0
CTTH.JK,2019Q4,27.27810534,83.10315576,25.03611032,36.48166619,-1.448375497,-3.380470999,0,1,4,1,0,0,0
DART.JK,2020Q4,29.55977803,96.0505501,25.49775217,5.15294684,-1.596633094,-3.585968598,1,0,9,0,1,0,0
DART.JK,2019Q4,29.56330838,82.3063263,25.44750643,2.476137017,-3.242159505,-6.602568283,0,1,9,0,0,0,0
DEWA.JK,2020Q4,29.6246414,53.13345937,28.06118242,41.65801737,0.02833234,0.06248913,1,0,7,1,1,1,0
DEWA.JK,2019Q4,29.36651893,8.80705925,27.71293678,37.05783777,0.547247945,1.202136719,0,1,7,1,0,0,0
DGIK.JK,2020Q4,28.11667048,32.22148726,26.40494339,34.21674368,-0.902553228,-1.618605264,1,0,5,1,1,1,0
