Firm,Period,code,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,current_rat,quick_rat,Treated,After
DILD.JK,2020Q2,DILD.JK2020Q2,Real Estate Investment and Services Development,0.0001501,0,1.59173E+13,1.0753E+13,50.42566287,48.32556104,0.89,0.54,1,1
DLTA.JK,2020Q2,DLTA.JK2020Q2,Beverages,-0.54873104,-1,1.40632E+12,1.94329E+11,-50.098553,-69.10769861,12.04,10.02,0,1
DMAS.JK,2020Q2,DMAS.JK2020Q2,Real Estate Investment and Services Development,0.348766821,0,6.9876E+12,1.53709E+12,-93.75179438,-85.19123735,2.28,0.79,1,1
DNET.JK,2020Q2,DNET.JK2020Q2,Software & Computer Services,-0.115357689,0,1.57537E+13,6.18654E+12,13.72229445,131.4612262,11.35,11.35,1,1
DOID.JK,2020Q2,DOID.JK2020Q2,"Oil, Gas and Coal",1.330751587,6,1.57529E+13,1.4025E+13,68.37737098,-28.24892634,2.05,1.85,0,1
DPNS.JK,2020Q2,DPNS.JK2020Q2,Chemicals,-0.476069805,-1,3.21478E+11,79165308880,13.1746097,-14.3205547,34.12,25.66,0,1
DPUM.JK,2020Q2,DPUM.JK2020Q2,Food Producers,-8.955560067,-15,1.8208E+12,6.97843E+11,904.9976696,-24.43279381,4.48,2.45,0,1
DSFI.JK,2020Q2,DSFI.JK2020Q2,Food Producers,-2.093608652,-4,3.77347E+11,1.99336E+11,-67.82894914,-58.53376026,1.48,0.55,0,1
DSNG.JK,2020Q2,DSNG.JK2020Q2,Construction and Materials,0.821271894,3,1.17099E+13,8.28183E+12,44.15544082,28.79027405,0.86,0.56,0,1
DSSA.JK,2020Q2,DSSA.JK2020Q2,Electricity,0.425528311,1,5.45666E+13,3.50721E+13,2.077383097,-6.760406138,1.37,1.03,1,1
DUTI.JK,2020Q2,DUTI.JK2020Q2,Real Estate Investment and Services Development,0.321069245,0,1.3848E+13,5.12383E+12,-44.39530865,-49.75775785,3.67,2.07,1,1
DVLA.JK,2020Q2,DVLA.JK2020Q2,Pharmaceuticals and Biotechnology,4.182345086,6,2.01054E+12,5.88499E+11,-32.82988871,2.855437588,3.19,2.35,0,1
DYAN.JK,2020Q2,DYAN.JK2020Q2,Industrial Support Services,-6.900033624,-10,1.09815E+12,4.5738E+11,-386.3572406,-96.57409282,1.28,1.25,1,1
