Firm,Period,ICB Sector,ROA_in_percent,TA,Total Liabilities,FCF,GROWTH_YoY_in_percent,Treated,After_YoY,
DUTI.JK,2020Q2,Real Estate Investment and Services Development,0.321069245,13848012503290,5123825541580,86182447210,-44.39530865,1,1,
DVLA.JK,2019Q2,Pharmaceuticals and Biotechnology,1.67664971,1828024666000,534816653000,87435076000,35.31541395,0,0,
DVLA.JK,2020Q2,Pharmaceuticals and Biotechnology,4.182345086,2010537712000,588498807000,64695907000,-32.82988871,0,1,
EKAD.JK,2020Q2,Chemicals,1.694572904,983508727500,113727089690,42013220090,19.28226536,0,1,
EKAD.JK,2019Q2,Chemicals,1.294645358,848703528680,129624037120,1721786770,-29.56586014,0,0,
EPMT.JK,2019Q2,Pharmaceuticals and Biotechnology,2.183974358,7977316930700,2111766759820,175793677760,4.665942978,0,0,
EPMT.JK,2020Q2,Pharmaceuticals and Biotechnology,1.628602339,8353666731890,2149793234970,126549757450,-8.848547447,0,1,
ERAA.JK,2019Q2,Retailers,0.579315559,11140089595000,6498390823000,21334556000,-51.95633467,1,0,
ERAA.JK,2020Q2,Retailers,0.147783565,9063284429000,4138070224000,60871501000,-59.36083432,1,1,
ESSA.JK,2019Q2,"Oil, Gas and Coal",-0.208465469,13161845206250,10441631577000,248624381850,138.7683124,0,0,
ESSA.JK,2020Q2,"Oil, Gas and Coal",-1.475568127,12147318979000,11667125328000,154840709000,-18.15114819,0,1,
ESTI.JK,2020Q2,Industrial Materials,0.464290809,817666728400,626093794000,11100671200,13.38304433,1,1,
ESTI.JK,2019Q2,Industrial Materials,0.32030324,886179335000,649659035000,8513985000,-171.8327345,1,0,
FAST.JK,2019Q2,Travel and Leisure,3.353675404,3252820862000,1596262320000,18141613000,206.6015743,1,0,
FAST.JK,2020Q2,Travel and Leisure,-4.408888187,3603158040000,1936797087000,2854186000,-88.15309401,1,1,
FIRE.JK,2020Q2,Retailers,1.270275492,531145387040,247107504520,1146408980,104.6227136,1,1,
FIRE.JK,2019Q2,Retailers,1.456623068,558058395120,241656558830,822734970,-21.61519456,1,0,
FMII.JK,2019Q2,Personal Goods,-0.529530775,919263920310,297380156160,10994395560,202.5646978,1,0,
FMII.JK,2020Q2,Personal Goods,-0.610947953,879063434860,251696896390,285319770,-43.30472502,1,1,
FORZ.JK,2020Q2,Real Estate Investment and Services Development,0.939117201,725628430820,469839004440,891342100,27.62025274,1,1,
FORZ.JK,2019Q2,Real Estate Investment and Services Development,0.019861085,708089333730,419162228110,44206060,-359.2025687,1,0,
