Firm,Period,code,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,current_rat,quick_rat,Treated,After
ALDO.JK,2018Q2,ALDO.JK2018Q2,Household Goods and Home Construction,1.457977569,3.589579711,5.35E+11,3.60E+11,46.54564574,54.4367148,1.43,0.89,1,0
ALKA.JK,2018Q2,ALKA.JK2018Q2,Industrial Metals and Mining,3.277016383,14.40492622,3.79E+11,3.18E+11,693.8379348,169.3570515,1.33,1.15,0,0
ALTO.JK,2018Q2,ALTO.JK2018Q2,Food Producers,-1.486969358,-4.119898718,1.10E+12,7.03E+11,-171.199041,7.240433617,1.45,0.49,1,0
AMFG.JK,2018Q2,AMFG.JK2018Q2,General Industrials,-0.795571784,-1.584296398,7.49E+12,3.98E+12,-571.5007069,12.32077492,1.47,0.59,0,0
AMIN.JK,2018Q2,AMIN.JK2018Q2,Household Goods and Home Construction,2.279900981,4.523033176,3.78E+11,1.88E+11,2.099879559,2.489538578,1.78,1.21,1,0
AMRT.JK,2018Q2,AMRT.JK2018Q2,"Personal Care, Drug and Grocery Stores",0.450227811,1.860000684,2.26E+13,1.72E+13,30.12122512,8.247425572,0.98,0.42,1,0
ANJT.JK,2018Q2,ANJT.JK2018Q2,Food Producers,0.324541268,0.492229463,8.30E+12,2.72E+12,-250.3380535,26.90454408,1.71,1.17,1,0
ANTM.JK,2018Q2,ANTM.JK2018Q2,Industrial Metals and Mining,0.315771358,0.525703894,3.13E+13,1.25E+13,-666.6611345,347.2964607,1.71,1.37,0,0
APIC.JK,2018Q2,APIC.JK2018Q2,Investment Banking and Brokerage Services,-1.252612646,-1.904763095,2.61E+12,1.25E+12,780.7362561,-50.42066189,1.33,1.33,0,0
APII.JK,2018Q2,APII.JK2018Q2,Electronic and Electrical Equipment,0.759487497,1.265830466,4.29E+11,1.71E+11,89.4370898,19.24229838,1.57,0.48,0,0
APLI.JK,2018Q2,APLI.JK2018Q2,General Industrials,-1.218772699,-2.17938786,3.89E+11,1.72E+11,158.5897207,3.210874427,1.67,0.93,0,0
APLN.JK,2018Q2,APLN.JK2018Q2,Real Estate Investment and Services Development,0.345193545,0.474750879,2.88E+13,1.97E+13,14.00616023,-58.38159721,1.47,0.79,0,0
ARII.JK,2018Q2,ARII.JK2018Q2,"Oil, Gas and Coal",-0.363817863,-1.324235759,4.79E+12,3.93E+12,-260.3622198,136.2489816,0.19,0.18,1,0
ARNA.JK,2018Q2,ARNA.JK2018Q2,Construction and Materials,1.854618943,3.079981388,1.59E+12,5.97E+11,23.00120415,14.80719236,1.58,1.24,1,0
ARTA.JK,2018Q2,ARTA.JK2018Q2,Investment Banking and Brokerage Services,-0.510153809,-0.067732428,3.86E+11,2.02E+11,269.7027431,-4.093891834,8.17,8.05,0,0
ARTI.JK,2018Q2,ARTI.JK2018Q2,Household Goods and Home Construction,0.134091555,0.044160304,2.55E+12,8.43E+11,231.9159404,67.80633269,7.15,6.99,1,0
ASGR.JK,2018Q2,ASGR.JK2018Q2,Technology Hardware & Equipment,2.529874541,3.928312709,2.18E+12,8.45E+11,33.54320941,83.53450649,2.16,1.4,1,0
ASII.JK,2018Q2,ASII.JK2018Q2,Automobiles and Parts,2.228430353,4.210460704,3.09E+14,1.82E+14,53.32225914,15.1895393,1.3,1.09,0,0
ASRI.JK,2018Q2,ASRI.JK2018Q2,Real Estate Investment and Services Development,1.039829247,2.453782682,2.10E+13,1.22E+13,101.9177244,20.21341804,0.74,0.47,0,0
ASSA.JK,2018Q2,ASSA.JK2018Q2,Consumer Services,1.020675877,3.378319607,3.42E+12,2.41E+12,15.78677685,8.074228809,0.45,0.41,0,0
ATIC.JK,2018Q2,ATIC.JK2018Q2,Software & Computer Services,0.56414311,1.159711978,3.27E+12,2.67E+12,79.18656164,13.14063335,1.11,0.64,0,0
AUTO.JK,2018Q2,AUTO.JK2018Q2,Automobiles and Parts,0.409552186,0.604876012,1.51E+13,5.30E+12,91.08669898,19.32789103,1.67,1.01,0,0
BAJA.JK,2018Q2,BAJA.JK2018Q2,Industrial Metals and Mining,-2.91369487,-17.76713187,9.63E+11,7.48E+11,-218.1946999,-20.742233,0.92,0.26,0,0
BALI.JK,2018Q2,BALI.JK2018Q2,Telecommunications Service Providers,0.556842684,1.158785731,2.71E+12,1.42E+12,30.5484385,37.12846144,0.67,0.54,1,0
BAPA.JK,2018Q2,BAPA.JK2018Q2,Real Estate Investment and Services Development,-0.409117836,-0.59078287,1.77E+11,56744534680,-36.27142066,-17.57113523,2.57,0.1,0,0
BATA.JK,2018Q2,BATA.JK2018Q2,Personal Goods,0.304206878,0.454642934,8.80E+11,2.98E+11,4.319781443,-1.701656999,2.5,0.91,0,0
BAYU.JK,2018Q2,BAYU.JK2018Q2,Travel and Leisure,0.970597036,1.808075762,7.94E+11,3.31E+11,1.093624819,17.83932082,1.72,1.72,0,0
BBLD.JK,2018Q2,BBLD.JK2018Q2,Finance and Credit Services,0.266454772,1.062322915,4.75E+12,3.26E+12,2.885055158,-4.022944256,4.29,4.29,1,0
BBRM.JK,2018Q2,BBRM.JK2018Q2,Industrial Transportation,-1.831836243,-5.847834728,1.30E+12,9.03E+11,381.3788267,-25.73252651,0.56,0.54,0,0
BCAP.JK,2018Q2,BCAP.JK2018Q2,Investment Banking and Brokerage Services,0.198478437,0.719428093,1.86E+13,1.46E+13,42.03012825,14.49033812,1.34,1.34,0,0
BELL.JK,2018Q2,BELL.JK2018Q2,Personal Goods,0.628432085,1.248554914,4.82E+11,2.72E+11,-27.42347909,-10.18743633,1.71,0.88,0,0
BEST.JK,2018Q2,BEST.JK2018Q2,Real Estate Investment and Services Development,0.754907389,1.116240899,5.75E+12,1.86E+12,-17.82415908,-20.45925467,6.57,3.59,0,0
BFIN.JK,2018Q2,BFIN.JK2018Q2,Investment Banking and Brokerage Services,1.912298157,6.604660635,1.90E+13,1.36E+13,27.36947726,28.83035359,2.48,2.48,0,0
BHIT.JK,2018Q2,BHIT.JK2018Q2,Telecommunications Service Providers,0.160245159,-1.933341718,5.58E+13,4.44E+13,38.88829238,4.829253484,0.62,0.62,1,0
BIKA.JK,2018Q2,BIKA.JK2018Q2,Real Estate Investment and Services Development,-0.189642521,-0.537275425,2.35E+12,2.03E+12,-40.17071211,-30.80803195,5.31,0.5,0,0
BIPI.JK,2018Q2,BIPI.JK2018Q2,"Oil, Gas and Coal",2.616379269,12.22406984,1.82E+13,1.33E+13,-128.7713045,-27.49184695,0.15,0.15,1,0
BIPP.JK,2018Q2,BIPP.JK2018Q2,Real Estate Investment and Services Development,-0.599031974,-0.767424779,1.72E+12,8.73E+11,-36.17314171,13.68832732,0.85,0.84,0,0
BIRD.JK,2018Q2,BIRD.JK2018Q2,Travel and Leisure,1.397155722,1.854175709,6.56E+12,1.64E+12,2.783319677,-4.231274487,1.66,1.63,0,0
BISI.JK,2018Q2,BISI.JK2018Q2,Food Producers,-0.9775847,-1.126366302,2.19E+12,2.77E+11,-576.4652372,-32.52945033,7.36,4.14,1,0
BKDP.JK,2018Q2,BKDP.JK2018Q2,Real Estate Investment and Services Development,-1.209381249,-1.916519192,7.72E+11,2.83E+11,88.83168608,18.90486664,7.36,4.14,0,0
BKSL.JK,2018Q2,BKSL.JK2018Q2,Real Estate Investment and Services Development,0.832309126,1.352921622,1.52E+13,5.95E+12,-825.7881209,107.9250788,1.28,0.62,0,0
BLTA.JK,2018Q2,BLTA.JK2018Q2,Industrial Transportation,1.962837588,4.790280043,1.14E+12,6.64E+11,-428.6987194,23.65232527,0.74,0.68,0,0
BLTZ.JK,2018Q2,BLTZ.JK2018Q2,Media,1.091837412,1.585144257,1.64E+12,5.01E+11,-19.34802858,37.87434128,0.93,0.88,0,0
BMSR.JK,2018Q2,BMSR.JK2018Q2,Real Estate Investment and Services Development,0.195474032,0.747715887,5.35E+11,4.24E+11,39.61018647,23.72488666,1.35,1.35,0,0
BMTR.JK,2018Q2,BMTR.JK2018Q2,Media,1.147363617,1.774960126,2.87E+13,1.91E+13,-1.983234921,0.6014833,2.15,1.42,0,0
BOGA.JK,2018Q2,BOGA.JK2018Q2,Retailers,-0.070196246,-0.092177947,5.42E+11,1.23E+11,7.589901449,96.55409869,1.29,0.49,0,0
BOLT.JK,2018Q2,BOLT.JK2018Q2,Automobiles and Parts,1.22905047,2.078892454,1.24E+12,6.16E+11,-30.84049987,1.75770615,2.14,0.84,0,0
BPFI.JK,2018Q2,BPFI.JK2018Q2,Investment Banking and Brokerage Services,0.945437747,2.532883713,1.96E+12,1.20E+12,103.5234264,18.75600357,12.77,12.77,0,0
BPII.JK,2018Q2,BPII.JK2018Q2,Industrial Support Services,2.308536306,3.695249339,9.61E+11,4.17E+11,-18.61712679,2.346238876,1.97,1.97,0,0
BRAM.JK,2018Q2,BRAM.JK2018Q2,Chemicals,1.139161706,1.428863896,4.42E+12,1.54E+12,-29.09342963,15.61127704,2.19,0.96,1,0
BRNA.JK,2018Q2,BRNA.JK2018Q2,General Industrials,-1.963993658,-5.069496867,2.09E+12,1.29E+12,-107.0886397,2.947860441,0.93,0.55,0,0
BRPT.JK,2018Q2,BRPT.JK2018Q2,Construction and Materials,1.568686929,2.309708769,9.67E+13,7.99E+13,19.69909576,24.52504841,2.1,1.73,1,0
BSDE.JK,2018Q2,BSDE.JK2018Q2,Real Estate Investment and Services Development,0.159729685,0.007884294,5.14E+13,2.28E+13,-12.13495036,-43.29360051,3.65,2.26,0,0
BSSR.JK,2018Q2,BSSR.JK2018Q2,"Oil, Gas and Coal",8.37175071,12.0870827,3.12E+12,9.87E+11,14.79201292,13.16432637,1.21,1.07,1,0
BTEK.JK,2018Q2,BTEK.JK2018Q2,Food Producers,1.675231704,4.392756037,5.32E+12,3.40E+12,360.0169173,-8.547585265,1.79,0.77,1,0
BTON.JK,2018Q2,BTON.JK2018Q2,Industrial Metals and Mining,5.049283978,6.061741254,2.07E+11,34072021040,586.0157702,50.58797833,5.47,5.21,0,0
BUDI.JK,2018Q2,BUDI.JK2018Q2,Food Producers,0.370861851,0.92003332,3.00E+12,1.80E+12,-12.98546625,17.64265746,1.01,0.63,1,0
BUKK.JK,2018Q2,BUKK.JK2018Q2,Construction and Materials,2.753951134,6.284001697,3.96E+12,2.21E+12,241.5184276,80.25417407,1.03,0.51,1,0
BULL.JK,2018Q2,BULL.JK2018Q2,Industrial Transportation,1.426889216,2.686565546,4.48E+12,2.26E+12,68.37791519,59.1668194,1.05,0.99,0,0
BUVA.JK,2018Q2,BUVA.JK2018Q2,Real Estate Investment and Services Development,-0.199696929,-0.380354475,3.71E+12,2.23E+12,229.3210006,105.2806117,0.42,0.41,0,0
BWPT.JK,2018Q2,BWPT.JK2018Q2,Food Producers,0.515803514,1.462049585,1.68E+13,1.06E+13,503.3451726,17.55138026,0.69,0.5,1,0
BYAN.JK,2018Q2,BYAN.JK2018Q2,"Oil, Gas and Coal",15.57340922,26.99405982,1.50E+13,7.02E+12,147.1168448,95.78858836,1.39,1.1,1,0
CARS.JK,2018Q2,CARS.JK2018Q2,Retailers,1.038777533,5.437475787,9.08E+12,7.17E+12,29.58710355,1.343158023,2.12,2.03,0,0
CASS.JK,2018Q2,CASS.JK2018Q2,Industrial Transportation,4.263749226,5.325184821,1.91E+12,1.26E+12,6.503329329,11.48840736,1.26,1.24,0,0
CEKA.JK,2018Q2,CEKA.JK2018Q2,Food Producers,0.391697901,0.605812483,1.32E+12,4.23E+11,468.7585019,4.346713122,7.94,6.29,1,0
CENT.JK,2018Q2,CENT.JK2018Q2,Telecommunications Service Providers,1.954641947,3.186794314,5.08E+12,1.74E+12,-127.6690063,21.63844005,1.47,1.45,1,0
CFIN.JK,2018Q2,CFIN.JK2018Q2,Finance and Credit Services,0.644035914,1.723781674,1.10E+13,6.81E+12,49.12192296,29.25889527,0.77,0.77,1,0
CINT.JK,2018Q2,CINT.JK2018Q2,Household Goods and Home Construction,0.489240727,0.545751701,4.73E+11,1.02E+11,-19.62100902,-0.817634205,3.06,1.29,1,0
CITA.JK,2018Q2,CITA.JK2018Q2,Industrial Metals and Mining,5.908916307,14.88142574,2.93E+12,1.79E+12,-347.6896581,321.9116937,0.55,0.28,0,0
CLEO.JK,2018Q2,CLEO.JK2018Q2,Beverages,2.164024499,4.768553366,7.30E+11,4.05E+11,159.8849695,36.3541865,1.11,0.57,1,0
CLPI.JK,2018Q2,CLPI.JK2018Q2,Chemicals,-0.010321498,-0.014024199,6.22E+11,1.69E+11,-53.3845671,9.280732343,2.55,1.91,1,0
CMNP.JK,2018Q2,CMNP.JK2018Q2,Industrial Transportation,0.818433444,1.578036425,1.17E+13,5.83E+12,18.79811083,45.08213319,2.55,2.55,0,0
COWL.JK,2018Q2,COWL.JK2018Q2,Real Estate Investment and Services Development,-1.696763748,-4.924304736,3.49E+12,2.38E+12,-95.13531226,11.61088516,0.87,0.17,0,0
CPIN.JK,2018Q2,CPIN.JK2018Q2,Food Producers,5.532154076,8.532053578,2.65E+13,9.04E+12,64.05059058,6.456153372,2.48,1.19,1,0
CSAP.JK,2018Q2,CSAP.JK2018Q2,Retailers,0.210607902,0.690627637,5.30E+12,3.77E+12,-8.407228482,10.21874289,1.14,0.57,0,0
CTRA.JK,2018Q2,CTRA.JK2018Q2,Real Estate Investment and Services Development,0.219828384,0.335169622,3.29E+13,1.88E+13,-15.5736371,-6.955808937,1.81,0.63,0,0
CTTH.JK,2018Q2,CTTH.JK2018Q2,Construction and Materials,-0.439719443,-0.956813171,7.06E+11,3.80E+11,25.8189799,16.2584984,1.93,0.69,1,0
DART.JK,2018Q2,DART.JK2018Q2,Real Estate Investment and Services Development,0.077745398,0.141669311,6.53E+12,2.91E+12,-35.72976302,-11.52304211,0.67,0.63,0,0
DAYA.JK,2018Q2,DAYA.JK2018Q2,Retailers,0.244017614,0.515294457,3.57E+11,2.00E+11,-219.7074636,132.083177,1.37,0.78,0,0
DEFI.JK,2018Q2,DEFI.JK2018Q2,Investment Banking and Brokerage Services,-0.083684385,-0.084817606,77873749160,1040091990,-95.10846105,-84.26640059,3.04,3.04,0,0
