Firm,Period,SIZE,LEV,REV,GROWTH,ROA,ROE,FE_2020Q2,FE_2019Q2,FE_Sector,Treat,After,DiD,Delete
CITA.JK,2019Q3,28.77887158,105.2129388,27.01283076,354.5505267,4.548027975,8.448532618,0,1,0,1,0,0,0
CLEO.JK,2020Q3,27.82809985,38.21376387,26.37122166,22.52651956,2.221687786,3.508420152,1,0,1,0,1,0,0
CLEO.JK,2019Q3,27.39232105,76.41052086,26.16806435,49.0000066,2.634053549,4.210364217,0,1,1,0,0,0,0
CLPI.JK,2020Q3,27.24464252,30.21166149,26.06817179,-1.743191393,1.565451492,2.232731722,1,0,0,1,1,1,0
CLPI.JK,2019Q3,27.1915712,21.90131769,26.08575742,61.24477072,1.132781681,1.709167523,0,1,0,1,0,0,0
CMNP.JK,2020Q3,30.29291965,85.22607358,27.39164871,-2.15822368,0.439372299,1.176266499,1,0,4,1,1,1,0
CMNP.JK,2019Q3,30.09111935,83.92718415,27.41346725,45.08213319,1.053539807,2.416988824,0,1,4,1,0,0,0
COWL.JK,2020Q3,28.88603687,171.5827625,25.55866699,-2.26197061,-0.25268338,-1.030850652,1,0,0,0,1,0,0
COWL.JK,2019Q3,28.88577778,155.5518117,25.58154644,-4.729495655,-1.014467761,-3.239180058,0,1,0,0,0,0,0
CPIN.JK,2020Q3,30.98551169,26.23933607,30.3469203,9.890207179,2.32672106,3.269504904,1,0,1,0,1,0,0
CPIN.JK,2019Q3,30.90685057,31.25021373,30.25260873,6.456153372,3.202589388,4.652920261,0,1,1,0,0,0,0
CSAP.JK,2020Q3,29.48735686,96.91867124,28.77778825,10.86591275,0.458957117,1.569702425,1,0,2,1,1,1,0
CSAP.JK,2019Q3,29.40325667,75.10259967,28.67463696,15.34824386,0.419495023,1.288465975,0,1,2,1,0,0,0
CTBN.JK,2020Q3,28.48492859,3.083602971,26.8463716,110.8759327,-0.812075938,-1.053146565,1,0,0,1,1,1,0
CTBN.JK,2019Q3,28.39213144,4.57399478,26.10027182,-6.497900602,1.161385624,1.8745404,0,1,0,1,0,0,0
CTRA.JK,2020Q3,31.20038712,60.78166961,28.04311421,-19.92428212,0.224890222,0.423792794,1,0,0,0,1,0,0
CTRA.JK,2019Q3,31.14584506,60.94637935,28.26531174,23.88504485,0.403076477,0.77371822,0,1,0,0,0,0,0
CTTH.JK,2020Q3,27.35836642,89.54321742,24.05412578,-53.61822802,-0.079179869,-0.21411673,1,0,3,0,1,0,0
CTTH.JK,2019Q3,27.2822476,81.29161254,24.82238943,16.2584984,-0.761952156,-1.736380171,0,1,3,0,0,0,0
DART.JK,2020Q3,29.58864472,89.86262726,25.55466507,40.76993118,-1.452143522,-3.162823114,1,0,0,0,1,0,0
DART.JK,2019Q3,29.50817622,74.37057984,25.21270839,-19.3029028,-0.567367112,-1.125256879,0,1,0,0,0,0,0
DEWA.JK,2020Q3,29.57700213,55.40259482,27.52155902,6.600596425,0.007323995,0.015454881,1,0,5,1,1,1,0
DEWA.JK,2019Q3,29.33427325,12.36193732,27.4576401,2.981748019,-0.40359848,-0.801926341,0,1,5,1,0,0,0
DGIK.JK,2020Q3,28.14454375,42.17696494,26.02117495,-2.640588865,-0.620032155,-1.177064126,1,0,4,1,1,1,0
DGIK.JK,2019Q3,28.18179329,26.97345283,26.04793573,-21.20019089,-0.6666585,-1.766372065,0,1,4,1,0,0,0
DILD.JK,2020Q3,30.31774386,87.44373079,26.9545591,-17.02497985,-0.331279578,-0.974741784,1,0,0,0,1,0,0
DILD.JK,2019Q3,30.26058724,85.33232828,27.14118969,58.14242953,0.048946177,-0.047637434,0,1,0,0,0,0,0
DNET.JK,2020Q3,30.33113759,60.07480673,24.65663654,41.09504056,-0.115357689,-0.185606239,1,0,0,0,1,0,0
DNET.JK,2019Q3,30.03611854,28.19705678,24.31237302,175.800919,1.02801115,1.692834684,0,1,0,0,0,0,0
DOID.JK,2020Q3,30.44592538,262.0797957,28.77135868,7.756412358,1.330751587,5.564331903,1,0,5,1,1,1,0
